RANK;NAME;CHANNEL NAME;CHANNEL USERNAME;FOLLOWERS (M);ER;COUNTRY;TOPIC OF INFLUENCE;POTENTIAL REACH;Total Recent Views;Total Recent Likes;Total Recent Comments;Earliest Video Date;Newest Video Date
45;WARINTIL OFFICIAL @UCEHprhvK2xu0CYKcnbMshBw;WARINTIL OFFICIAL ;UCEHprhvK2xu0CYKcnbMshBw;8.6;-;Indonesia;;2.6M;24293247;599949;27940;06/04/2025;26/04/2025
46;SISI TERANG @UCSg-Y9uI1E-my-I4WKKioEQ;SISI TERANG ;UCSg-Y9uI1E-my-I4WKKioEQ;8.6;-;Indonesia;;2.6M;313122;2527;1432;21/04/2025;27/04/2025
47;Mikael TubeHD @UCFSqAZl3AxxMyaHouB2GKSg;Mikael TubeHD ;UCFSqAZl3AxxMyaHouB2GKSg;8.3;-;Indonesia;;2.5M;9940295;58533;4695;27/03/2025;27/04/2025
48;kemas pake z @UCCEs4SbttY3l73m0WsZix3g;kemas pake z ;UCCEs4SbttY3l73m0WsZix3g;8.3;-;Indonesia;;2.5M;167702;5434;490;17/04/2025;27/04/2025
49;MOP Channel @UCrrimexxJpH-zLIrg_IPV_w;MOP Channel ;UCrrimexxJpH-zLIrg_IPV_w;8.2;-;Indonesia;;2.5M;73691;2052;643;16/04/2025;25/04/2025
50;KopraL Jono @UCS1a9Q2__fjNt_8Wik0RFTg;KopraL Jono ;UCS1a9Q2__fjNt_8Wik0RFTg;8.2;-;Indonesia;;2.5M;13872743;442070;48944;08/10/2022;11/01/2023
51;Erpan1140 @UCHtehvb3p55uRCQBDCwF-ow;Erpan1140 ;UCHtehvb3p55uRCQBDCwF-ow;8.1;-;Indonesia;Video Gaming;2.4M;643874;23288;1020;19/03/2025;26/04/2025
52;Netmediatama @UCrmgXElfpFPD9LDc_0aUfew;Netmediatama ;UCrmgXElfpFPD9LDc_0aUfew;8.1;-;Indonesia;Celebrity News;2.4M;477264;8295;1026;23/04/2025;26/04/2025
53;TRI SUAKA CHANNEL @UCxHRAILTOBZNR8J9GZFaniw;TRI SUAKA CHANNEL ;UCxHRAILTOBZNR8J9GZFaniw;8.0;-;Indonesia;;2.4M;419043;6434;1549;02/04/2025;27/04/2025
54;Maell Lee @UCgYmNAhjfv5GYWBOfzp831Q;Maell Lee ;UCgYmNAhjfv5GYWBOfzp831Q;8.0;0.2%;Indonesia;;2.4M;5479047;132576;10213;13/03/2025;25/04/2025
55;MD Entertainment @UC3e0KfJEE6s46nn6_N-DMaQ;MD Entertainment ;UC3e0KfJEE6s46nn6_N-DMaQ;7.9;-;Indonesia;;2.4M;45103;426;535;15/04/2025;27/04/2025
56;fikrifadlu @UC4AXZK3XiR-kz1Nk01LhxmQ;fikrifadlu ;UC4AXZK3XiR-kz1Nk01LhxmQ;7.7;-;Indonesia;;2.3M;6394644;42395;2453;31/10/2024;21/04/2025
57;Jeevan Akawa @UC4Z9EjODYWG91KEk-Q8DWPw;Jeevan Akawa ;UC4Z9EjODYWG91KEk-Q8DWPw;7.5;-;Indonesia;;2.3M;1760303;34251;1217;13/12/2024;18/04/2025
58;Angga Candra @UCJdzixqmMBoCMoMkrQ8F8FQ;Angga Candra ;UCJdzixqmMBoCMoMkrQ8F8FQ;7.5;-;Indonesia;;2.3M;700945;17645;2705;27/01/2025;23/04/2025
59;Oura Gaming @UCirWugW5e03u3DUGA87s58A;Oura Gaming ;UCirWugW5e03u3DUGA87s58A;7.5;-;Indonesia;;2.2M;2159193;36107;10139;18/04/2025;26/04/2025
60;Putih Abu-Abu @UCIqzqfsgUqctbM-MANntwuQ;Putih Abu-Abu ;UCIqzqfsgUqctbM-MANntwuQ;7.4;-;Indonesia;;2.2M;18412588;510035;5969;01/01/2024;30/04/2024
61;musisi jogja project @UCUE-BF1Q5E6Sz1KidSnSRYw;musisi jogja project ;UCUE-BF1Q5E6Sz1KidSnSRYw;7.0;-;Indonesia;;2.1M;993573;8925;509;10/04/2025;26/04/2025
62;Rasyah Rasyid @UCEgqJ5EKBATUwpkM6fVuGiA;Rasyah Rasyid ;UCEgqJ5EKBATUwpkM6fVuGiA;7.0;-;Indonesia;;2.1M;2915096;61202;4559;20/12/2024;24/04/2025
63;Hi Patrick @UCZB0J8mVXqPe3ej6UYlS4DQ;Hi Patrick ;UCZB0J8mVXqPe3ej6UYlS4DQ;6.9;-;Indonesia;;2.1M;2045760;57846;7376;13/04/2023;24/12/2024
64;animasinopal @UC5IA7MpYcbhbA28RgyQrV0A;animasinopal ;UC5IA7MpYcbhbA28RgyQrV0A;6.9;1.5%;Indonesia;;2.1M;38646296;2109965;21592;11/11/2024;24/04/2025
65;DJ Opus @UCwTSXttL8gc13UlPXU7YNjQ;DJ Opus ;UCwTSXttL8gc13UlPXU7YNjQ;6.8;-;Indonesia;;2M;110843;2036;948;22/03/2025;21/04/2025
66;Kang Ujang Busthomi cirebon @UCxTVvAgJyIjw-zmJex4nyhg;Kang Ujang Busthomi cirebon ;UCxTVvAgJyIjw-zmJex4nyhg;6.8;0.1%;Indonesia;;2M;1484375;59454;6117;18/04/2025;26/04/2025
67;Kananda Widyantara @UCveWi6uuOZbGODjcVWJMW7Q;Kananda Widyantara ;UCveWi6uuOZbGODjcVWJMW7Q;6.6;-;Indonesia;Video Gaming;2M;8244365;104491;2190;28/08/2024;01/03/2025
68;FATEH HALILINTAR @UCi_ujFc2fgNt21RgVY5hvGg;FATEH HALILINTAR ;UCi_ujFc2fgNt21RgVY5hvGg;6.6;0.2%;Indonesia;;2M;8364979;251533;5065;06/05/2022;20/04/2025
69;sidul tube channel @UCyIEVMhLpr-zmqZN9v2Ka_w;sidul tube channel ;UCyIEVMhLpr-zmqZN9v2Ka_w;6.5;-;Indonesia;;2M;22378;264;30;14/12/2024;20/04/2025
70;Obbyphy @UC8J8jWVZK9isJAU579ulheg;Obbyphy ;UC8J8jWVZK9isJAU579ulheg;6.5;0.2%;Indonesia;;1.9M;241399;9828;637;11/12/2024;10/02/2025
71;Indonesian Idol @indonesianidol;Indonesian Idol ;indonesianidol;6.5;-;Indonesia;;1.9M;2679626;66660;11931;07/04/2025;26/04/2025
72;TAULANY TV @UC6SPCnTAIanF2_8ST2wrQzw;TAULANY TV ;UC6SPCnTAIanF2_8ST2wrQzw;6.4;0.9%;Indonesia;Celebrity Music;1.9M;2756517;44417;8651;01/04/2025;26/04/2025
73;Calon Sarjana @UC-ASDT9n-sUPwA7uUPN0OoQ;Calon Sarjana ;UC-ASDT9n-sUPwA7uUPN0OoQ;6.3;-;Indonesia;;1.9M;944025;17647;3960;17/04/2025;27/04/2025
74;123 GO! Indonesian @UC43nz9qnZ7AIrbOlfxejTig;123 GO! Indonesian ;UC43nz9qnZ7AIrbOlfxejTig;6.3;-;Indonesia;;1.9M;205340;1518;144;06/04/2025;27/04/2025
75;MetroTV @UCzl0OrB3-ehunyotIQvK77A;MetroTV ;UCzl0OrB3-ehunyotIQvK77A;6.3;-;Indonesia;;1.9M;3863;57;15;27/04/2025;27/04/2025
76;WAWAN MKS @UCXT5s05a6LQsP9q83W5hY_A;WAWAN MKS ;UCXT5s05a6LQsP9q83W5hY_A;6.3;-;Indonesia;;1.9M;1384084;28124;910;23/03/2025;26/04/2025
77;Natasha Wilona @UCciyMo0ShVMAlYp3SWAaBcw;Natasha Wilona ;UCciyMo0ShVMAlYp3SWAaBcw;6.2;-;Indonesia;;1.9M;2499715;54753;840;14/06/2024;19/12/2024
78;BrandonKent Everything @brandonkenteverything;BrandonKent Everything ;brandonkenteverything;6.2;0.1%;Indonesia;Video Gaming;1.9M;3744708;62017;8645;09/04/2025;26/04/2025
79;Fiki Naki @UCL3jS4gOZ-wJA7oeV8c7low;Fiki Naki ;UCL3jS4gOZ-wJA7oeV8c7low;6.2;-;Indonesia;;1.8M;7780711;229908;15543;16/11/2024;21/03/2025
80;Mikael Family @UC6SnUbITMvm6nfC7G1PPtUA;Mikael Family ;UC6SnUbITMvm6nfC7G1PPtUA;6.1;-;Indonesia;;1.8M;2963617;27723;2141;13/03/2025;26/04/2025
81;CnX Adventurers @UCrjWoQ3vlzLrKweYk5jAl1w;CnX Adventurers ;UCrjWoQ3vlzLrKweYk5jAl1w;6.0;-;Indonesia;;1.8M;3512409;30492;1643;10/04/2025;27/04/2025
82;Super JoJo Bahasa Indonesia - Lagu Anak-anak @UC_S8TNffRECCdqdrmYlNejw;Super JoJo Bahasa Indonesia - Lagu Anak-anak ;UC_S8TNffRECCdqdrmYlNejw;6.0;-;Indonesia;;1.8M;0;0;0;N/A;N/A
83;The Hermansyah A6 @UChC0SS7gzZcoNJShR9Qh8Nw;The Hermansyah A6 ;UChC0SS7gzZcoNJShR9Qh8Nw;5.9;-;Indonesia;;1.8M;859399;21461;2067;14/04/2025;26/04/2025
84;Thariq Halilintar @UC4yFyIPBcHKXplfjsEZ_t8A;Thariq Halilintar ;UC4yFyIPBcHKXplfjsEZ_t8A;5.8;0.3%;Indonesia;;1.7M;5542047;172670;27049;07/01/2025;24/04/2025
85;Jurnal Risa @UCKFC1LYWw1fbe9LNfm2vEPg;Jurnal Risa ;UCKFC1LYWw1fbe9LNfm2vEPg;5.7;0.6%;Indonesia;;1.7M;9111630;295995;15269;06/03/2025;24/04/2025
86;SABYAN @UCeZA77FZSG4YzBcvBJ9eynA;SABYAN ;UCeZA77FZSG4YzBcvBJ9eynA;5.7;-;Indonesia;;1.7M;944646;19083;1302;15/01/2025;19/04/2025
87;Hobby Makan @UCNYvkAHBuLfOzUBuR1Uvv9w;Hobby Makan ;UCNYvkAHBuLfOzUBuR1Uvv9w;5.5;0.2%;Indonesia;;1.7M;10482464;350627;16119;05/04/2025;27/04/2025
88;DENNY CAKNAN @UC0k3T5AJYvKnuc52bB7rJTA;DENNY CAKNAN ;UC0k3T5AJYvKnuc52bB7rJTA;5.5;-;Indonesia;;1.7M;44539610;975626;99328;29/11/2024;24/04/2025
89;MARKOCOP @UC_rsMKPp_iGAXtblQ-KEXNQ;MARKOCOP ;UC_rsMKPp_iGAXtblQ-KEXNQ;5.5;0.2%;Indonesia;;1.7M;1054652;39440;9737;18/04/2025;27/04/2025
90;Alip_Ba_Ta @UCcHGALtfZtBRU_lzMaBm9Wg;Alip_Ba_Ta ;UCcHGALtfZtBRU_lzMaBm9Wg;5.5;0.6%;Indonesia;;1.7M;22620610;1104909;101730;22/03/2023;22/03/2025
91;Picky Picks @UCmlgRPrwvyHaS1jYXJifNqg;Picky Picks ;UCmlgRPrwvyHaS1jYXJifNqg;5.5;-;Indonesia;;1.6M;7719408;234618;13825;12/01/2025;25/04/2025
92;123 GO! CHALLENGE Indonesian @UC-S7cyZCojMeVopBkH6yNEw;123 GO! CHALLENGE Indonesian ;UC-S7cyZCojMeVopBkH6yNEw;5.5;-;Indonesia;;1.6M;123564;1072;33;22/04/2025;27/04/2025
93;123 GO! GOLD Indonesian @UCwIzd032IQjvJ9larkdcwgg;123 GO! GOLD Indonesian ;UCwIzd032IQjvJ9larkdcwgg;5.5;-;Indonesia;;1.6M;239239;1487;266;05/04/2025;27/04/2025
94;SAM si JELI LINCAH @UC7_kZOqKOBy6t8xwJevcxjQ;SAM si JELI LINCAH ;UC7_kZOqKOBy6t8xwJevcxjQ;5.4;-;Indonesia;;1.6M;96953975;819294;0;15/04/2025;26/04/2025
95;WeTV Indonesia @UCQI1M9NaNl79AktSWNOoLcA;WeTV Indonesia ;UCQI1M9NaNl79AktSWNOoLcA;5.3;-;Indonesia;;1.6M;319055;2214;575;18/04/2025;26/04/2025
96;Vilmei @UC90xz-i20jmoZhI8RMLzzjA;Vilmei ;UC90xz-i20jmoZhI8RMLzzjA;5.3;-;Indonesia;;1.6M;15218823;0;8153;10/04/2025;21/04/2025
97;Fakta Populer @UCVB4ZivEBReX0f2rrz7JL-A;Fakta Populer ;UCVB4ZivEBReX0f2rrz7JL-A;5.3;-;Indonesia;;1.6M;171290;2265;699;02/04/2025;26/04/2025
98;MAQ @UClEZXxVmQTI5o-ZFT_HDXvA;MAQ ;UClEZXxVmQTI5o-ZFT_HDXvA;5.2;-;Indonesia;;1.6M;3532341;61807;6710;14/02/2025;26/04/2025
99;MILYHYA @UC0ohl1eKTtlJNqbD-HWRQVg;MILYHYA ;UC0ohl1eKTtlJNqbD-HWRQVg;5.2;-;Indonesia;;1.6M;119961335;3621611;116449;13/10/2022;26/03/2025
100;Korea Reomit @UCXkRFUruW9lg4hEBILMVkPQ;Korea Reomit ;UCXkRFUruW9lg4hEBILMVkPQ;5.2;0.1%;Indonesia;;1.5M;4695262;166706;14857;26/03/2025;26/04/2025
